name,price,description,link,image,bought
Baby Support Pillow,16,Specially designed to cradle a baby head and neck in just the right position when sleeping.,https://dreamcart1.com/products/baby-neck-support-pillow?fbclid=IwAR33STFTRNIaSU81q-m-lRabGWNnYCZdIpvZKdgKY-6GH6EL2jNPcwLuMKk,https://dreamcart1.com/cdn/shop/products/product-image-1273345969_960x.jpg?v=1599585846,FALSE
Safebowl,16,"Designed to rotate and defy gravity, this innovative bowl ensures a cleaner, stress free feeding experience for both you and your baby.",https://www.merrymagics.com/products/universal-gyro-bowl-children-rotary-balance-novelty-360-rotate-spill-proof-feeding-dishes-baby-training-rotary-balance-toy-new,https://www.babybubblestore.com/cdn/shop/products/planet-balance-magic-food-bowl-planet-balance-magic-food-bowl-baby-bubble-store-blue-813009_1024x1024@2x.jpg?v=1660138059,FALSE
Milk Feeding Bibs,5.49,Extra absorbent milk feeding bibs perfect for soaking up milk and dribbles to keep your baby delicate skin dry and free from irritation.,https://www.tommeetippee.com/en-gb/product/milk-feeding-bibs#527=19856,https://www.tommeetippee.com/media/catalog/product/cache/9f13f7386977c4e61b5c7979fb09e32a/q/a/qa0lzux277p8c1jgdbxw.jpg,FALSE
Socks in a Box- The Teddy Bear Collection,19.99,We would be thrilled if you bought this,https://mybabysocks.co.uk/products/socks-in-a-box-the-teddy-bear-collection,https://mybabysocks.co.uk/cdn/shop/files/3AD581F7-257C-4794-BBED-8D2B9D630CD7.jpg?v=1693500856&width=1946,FALSE
Montessori UFO Silicone Pulling Toy,19.49,"The UFO toy is equipped with soft buttons to encourage the baby to touch and press, exercising the flexibility of little fingers. The textured cords can be pulled from side to side to let the baby feel various sounds and vibrations.",https://projectmontessori.co.uk/products/montessori-ufo-silicone-pulling-toy,https://projectmontessori.co.uk/cdn/shop/products/montessori-ufo-silicone-pulling-toy-360025_1080x.png?v=1661765382,FALSE
Fisher-Price Meditation Mouse,15.77,This soothing plush mouse is the go-to calming cuddle buddy to help the little one learn how to nama-stay relaxed.,https://www.amazon.co.uk/dp/B09BW3X8XN?ref_=cm_sw_r_apin_dp_79003FXD8DTA9DVRVYTQ&language=en-GB,https://www.maqio.com/cdn/shop/products/XT-4VTJ-7BTJ-1.jpg?v=1672391422,TRUE
Megainvo Electric Baby Nail File Trimmer,16.99,"Safe and durable baby nail file, designed for the different stage of a baby growth.",https://www.amazon.co.uk/dp/B0B59GVKC1?ref_=cm_sw_r_apin_dp_K67DY065JJ8S31QX6E9Z&language=en-GB&th=1,https://m.media-amazon.com/images/I/61nZU3EV+VL._AC_SL1500_.jpg,FALSE
Bebbek Camisole Wrapover Newborn Set - Dark Blue,12.99,"Comfortable soft fabric, texture, and pattern. Four piece set.",https://ebebek.co.uk/products/bebbek-camisole-wrapover-4-pcs-newborn-gift-starter-set?variant=41653671264462,https://ebebek.co.uk/cdn/shop/products/d994483742adea0c1a04f77a5610437d_cf179fa0-d8cd-4e09-a94b-12f1bfd72e6c_720x.webp?v=1697486974,FALSE
Cassiope Newborn Little Explorer Velvet - Bronze,10.99,Comfy soft fabric overalls,https://ebebek.co.uk/products/cassiope-newborn-little-explorer-velvet?variant=41665482031310,https://ebebek.co.uk/cdn/shop/products/1bed5331f054cf51c7258905c919a42e_720x.webp?v=1684851642,FALSE
Cassiope Colorful Romper,10.99,Comfy soft romper 100% cotton,https://ebebek.co.uk/products/cassiope-colorful-romper?variant=42073690964174,https://ebebek.co.uk/cdn/shop/products/140fc8fc8f9d6ab52e0252859317d70f_460x.webp?v=1688629610,FALSE
HelloBaby Basic Baby Boy Velvet Overalls - Brown,10.99,Comfy soft fabric overalls,https://ebebek.co.uk/products/hellobaby-basic-baby-boy-velvet-overalls?utm_content=Facebook_UA&variant=41653668217038&utm_source=IGShopping&utm_medium=Social,https://ebebek.co.uk/cdn/shop/products/ce6a0a083f6b251197a2eac3ec4e01de_460x.jpg?v=1671520853,FALSE
Padded Cot Bumper,19.99,"Bumper for a cot, that covers the hard rails and protects the baby against injuries, ensuring a comfortable and sound sleep.",https://happy-baby.co.uk/products/padded-cot-bumper-120x60-100-cotton-sea-life-sage?variant=43001509150936&currency=GBP&gad_source=1&gclid=CjwKCAiA-P-rBhBEEiwAQEXhHxtKBmrRQdWPgYa03G4hhOwFL6VypCZP1dn8wCAalFbynU5Epe3kqxoCUD0QAvD_BwE,https://happy-baby.co.uk/cdn/shop/products/1_44d62e32-eddb-438c-96bf-51aa2d993580.jpg?v=1656065435,FALSE
Knitten Cotton Baby Blanket ,12.44,We would be thrilled if you bought this,https://www.amazon.co.uk/dp/B0BZP6NM3S?ref_=cm_sw_r_mwn_dp_5V0JN5JWB89Z8DD0EEES&language=en_US,"https://images-eu.ssl-images-amazon.com/images/I/81uD4KMkCyL._AC_UL232_SR232,232_.jpg",FALSE
Bottle Feeding Essentials,40,Three closer to Nature bottles that are loved by mums and baby. Insulated bottle bags and microwave steriliser.,https://www.tommeetippee.com/en-gb/product/bottle-feeding-away-from-home-pack?gad_source=1&gbraid=0AAAAAC9C0qcgBD33Lry6BqWBFFOCQRcf3&gclid=Cj0KCQiAm4WsBhCiARIsAEJIEzWrgD0kHg7ggE7fRacbJmGkzCFeWV2sOXcUMdSjfe9txM5Gow1uJEwaAupXEALw_wcB,https://www.tommeetippee.com/media/catalog/product/cache/9f13f7386977c4e61b5c7979fb09e32a/b/o/bottle_feeding_essentials_-_main.jpg,FALSE
Hunny Baby Sleeping Bag,32.71,The Perfect Bedtime and nap time Companion. These warm and delicate baby sleeping bags are a must-have for colder nights or chilly winter adventures.,https://hunnybubbakids.com/products/hunny-baby-sleeping-bag?utm_medium=WEBSITE+%26+KEYWORDS&utm_campaign=BABY+SLEEPING+BAG+%7C+Targeted&utm_content=Sleeping+bag%7C+WEBSITE+%26+KEYWORDS+-+Copy&fbclid=PAAab4b9GW5mid57FoDM-dgpXKScSCYeZ9F4QS2gZVZY-c_GCa7jZsiDsSh7A_aem_Ad8bp6lCdlIFQ5YlUHKzek0EOo4CeSUEQeQP9Cpj5Zs7oQsEa71jFF17RqHUqZT7o5xkpff8ebmg5SuzEA68iEeq&utm_source=facebook&campaign_id=120202986692050472&ad_id=120202986692000472,https://hunnybubbakids.com/cdn/shop/products/hunny-baby-sleeping-bag-bubba-kids-beige-o-3-months-709.jpg?v=1665525078&width=713,FALSE
Hooded Baby Towel,8.99,Made of fluffy and soft coral velvet. Designed with a cute animal face,https://www.amazon.co.uk/dp/B0CN6BYNLY?ref_=cm_sw_r_apin_dp_4NKX8CYGX48JZVZ2NHGP&language=en-GB&th=1,https://m.media-amazon.com/images/I/71WnHfJ794L._AC_SL1500_.jpg,FALSE
SkinSoother Baby Bath Silicone Brush,7.99,Soft bristles and massage beads makes baby bath time feel like the spa and calms baby for bedtime.,https://www.amazon.co.uk/dp/B08XXMGCSK?ref_=cm_sw_r_apin_dp_N1MGC3JBJHND14VW25HY&language=en-GB,https://m.media-amazon.com/images/I/81oI3K3o5lL._AC_SL1500_.jpg,FALSE
"Aveeno Baby, Calming Comfort Bedtime Set",11.75,Blended with soothing oat and calming lavender scent to help calm your baby before bedtime.,https://www.amazon.co.uk/dp/B09R7S6LDW?ref_=cm_sw_r_apin_dp_7NVENNQNZ8WF22B5R5ZJ&language=en-GB&th=1,https://m.media-amazon.com/images/I/71I6Gc7cNmL._AC_SL1500_.jpg,FALSE
Newborn Baby Bath,15,"The soft foam head rest is soft and warm for your little one's support and comfort, keeping baby calm and cosy during bathtime",https://www.amazon.co.uk/dp/B092V4H2TC?ref_=cm_sw_r_apin_dp_R1DH0PF222P4V091XPW9&language=en-GB&th=1,https://m.media-amazon.com/images/I/51zJ-jqQP6L._AC_SL1500_.jpg,FALSE
baby shampoo & body wash,8.99,"Infused with naturally nourishing plant extracts such as mango and strawberry, this tear-free formula leaves babies' skin and hair cleansed and hydrated.",https://kitandkin.com/products/hair-body-wash?currency=GBP&variant=6899705479213&stkn=cb9e8cae59fd&gclid=CjwKCAiAhJWsBhAaEiwAmrNyqxjANYooouKoFrmGoHDNhN4LQntqTOrz-qIe2fofQIc-XA5T-nw90BoC_oYQAvD_BwE,https://kitandkin.com/cdn/shop/products/hair-body-wash-hero_900x.jpg,FALSE
Extra Large Elephant Print Muslin ,9,"Whether you use it for wiping up spills, as a swaddle, on your shoulder as a burping cloth, as a pram cover or as a breastfeeding cover, our generously sized Extra Large Elephant Print Muslin is guaranteed to become one of your hardest-working pieces of kit.",https://www.jojomamanbebe.co.uk/style/ST325989/C52975#C52975,https://cdn.platform.next/Common/Items/Default/Default/ItemImages/3_4Ratio/AltItemShot/366x488/C52975s.jpg,FALSE
Baby Cotton Fox & Dragon Bodysuits,9.5,Designed for all-day comfort and won't irritate your little one's sensitive skin.,https://www.johnlewis.com/john-lewis-baby-cotton-fox-dragon-bodysuits-pack-of-5-multi/p110524079?size=0-3-months&s_ppc=2dx_mixed_fashion_BAU&tmad=c&tmcampid=2&gad_source=1&gclid=CjwKCAiAhJWsBhAaEiwAmrNyq0a7SsPVN0uenBAkdQRpYd78NekJTnSzJW0lYtUk5MIC3sFY_1KHgRoCAnEQAvD_BwE&gclsrc=aw.ds,https://johnlewis.scene7.com/is/image/JohnLewis/006434154?$rsp-pdp-port-640$,FALSE
"Baby Animal Print Sleepsuit, Bodysuit",9.5,The combination of matching spot and safari animal prints adds a touch of fun to this outfit,https://www.johnlewis.com/john-lewis-baby-animal-print-sleepsuit-bodysuit-hat-booties-set-yellow-multi/p110697723?size=3-6-months&s_ppc=2dx_mixed_fashion_BAU&tmad=c&tmcampid=2&gad_source=1&gclid=CjwKCAiAhJWsBhAaEiwAmrNyqxOvIidxDQQwi_fd2-aU1DKx0CZeTqiMMAafClnqDrr90g85-XtQnRoCwSQQAvD_BwE&gclsrc=aw.ds,https://johnlewis.scene7.com/is/image/JohnLewis/006434156?$rsp-pdp-port-640$,FALSE
Dry Fast Nappies 60 Pack,2.25,If you want to bring nappies as a present - we would prefer either Aldi - Sainsbury's - or Tesco's home brand nappies size 2,https://groceries.aldi.co.uk/en-GB/p-mamia-newborn-premium-dry-fast-60-packsize-2-mini-3-6kg6-13lbs/4088600427102,https://aldprdproductimages.azureedge.net/media/resized/$Aldi_GB/01.08.23/4088600427102_0_XL.jpg,FALSE
